Expired Flow,duration,tl_pkts, tl_bytes, pkts/s, bytes/s,avg , min, max, stddev,tot_fw_pk,tot_bw_pk,fw_pkt_l_avg, fw_pkt_l_min, fw_pkt_l_max, fw_pkt_l_std, bw_pkt_l_avg, bw_pkt_l_min, bw_pkt_l_max, bw_pkt_l_stddev, fw_pkt_s, bw_pkt_s, fl_iat_avg, fl_iat_std, fl_iat_min,fl_iat_max,fw_iat_tot, fw_iat_avg, fw_iat_std, fw_iat_min, fw_iat_max,bw_iat_tot, bw_iat_avg, bw_iat_std, bw_iat_min, bw_iat_max
192.168.1.2:54482→116.196.101.170:50602,120.000332,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142904.57,26907536.22, 18271.00, 59692192.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000606,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000151.50,29980908.50, 19183.00, 59981146.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.057690,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062217.06,8736577.91, 127.00, 19979264.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.053662,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.92, 0.00 ,  8070244.13,7504673.61, 23491.00, 15116645.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.001457,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17143065.29,26894768.24, 18561.00, 59672613.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059976,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062351.53,8746875.75, 0.00, 19979826.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.116284,18,704,0.15,5.81,353.78,32,704,221.31,9,9,330.67, 32, 672,  217.56, 302.22, 32, 640, 212.86,24.57, 0.00 ,  7124487.29,7486077.49, 23117.00, 15116977.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000714,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142959.14,26879249.32, 17963.00, 59652498.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,179.981594,6,36,0.03,0.20,21.00,6,36,10.25,3,3,18.00, 6, 30,  9.80, 14.00, 6, 24, 7.48,0.30, 0.00 ,  35996318.80,29375410.86, 18814.00, 59981615.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.058667,22,3137,0.18,26.13,734.09,6,3137,1118.04,13,9,689.54, 6, 2957,  1051.30, 450.56, 6, 2951, 890.64,74.66, 0.00 ,  5717079.38,8094483.84, 0.00, 19979477.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.124919,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8074994.60,7526831.53, 23288.00, 15116527.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.003229,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17143318.43,26865726.30, 18176.00, 59631895.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000911,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000227.75,29971321.34, 19356.00, 59981491.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.058699,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062276.41,8765651.86, 34.00, 19979799.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.125384,19,2320,0.16,19.15,1923.79,32,2320,490.58,10,9,1797.60, 32, 2288,  631.73, 1809.78, 32, 2256, 643.57,148.41, 0.00 ,  6729188.00,7246748.26, 0.00, 15116314.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.017484,9,504,0.07,4.20,330.00,6,504,164.13,4,5,249.00, 6, 492,  171.88, 295.20, 6, 498, 182.59,8.30, 0.00 ,  15002185.50,25749191.92, 18297.00, 59601369.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000244,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000061.00,29979845.02, 19082.00, 59981056.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059840,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062343.53,8771490.65, 0.00, 19979878.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,120.895334,20,1328,0.17,10.98,516.00,32,1328,378.86,10,10,465.60, 32, 1296,  345.28, 436.80, 32, 1264, 341.37,38.51, 0.00 ,  6362912.32,7339600.84, 23247.00, 15116725.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.009313,9,729,0.07,6.07,405.00,231,729,164.13,5,4,340.20, 231, 498,  124.14, 361.50, 231, 492, 124.64,14.17, 0.00 ,  15001164.12,25736498.48, 17910.00, 59582112.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000611,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000152.75,29981174.75, 18745.00, 59981807.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.058312,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062253.65,8787311.87, 827.00, 19979397.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.115367,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8074357.80,7528476.90, 23479.00, 15119633.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.419420,10,510,0.08,4.24,258.00,6,510,190.64,5,5,210.00, 6, 504,  184.49, 205.20, 6, 498, 183.18,8.72, 0.00 ,  13379935.56,24683278.75, 17886.00, 59562220.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.057753,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062220.76,8797734.64, 663.00, 19979881.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,120.637896,16,640,0.13,5.31,280.00,32,640,162.97,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.98, 0.00 ,  8042526.40,7501405.97, 23762.00, 15116168.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.019135,6,36,0.05,0.30,21.00,6,36,10.25,3,3,14.00, 6, 24,  7.48, 18.00, 6, 30, 9.80,0.35, 0.00 ,  24003827.00,29374857.44, 19122.00, 59980679.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.018982,9,504,0.07,4.20,330.00,6,504,164.13,4,5,249.00, 6, 492,  171.88, 295.20, 6, 498, 182.59,8.30, 0.00 ,  15002372.75,25712572.20, 17886.00, 59542377.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.057941,22,3137,0.18,26.13,734.09,6,3137,1118.04,13,9,689.54, 6, 2957,  1051.30, 450.56, 6, 2951, 890.64,74.66, 0.00 ,  5717044.81,8126229.21, 0.00, 19987267.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.532803,18,576,0.15,4.74,304.00,32,576,166.02,9,9,288.00, 32, 544,  165.25, 259.56, 32, 512, 159.96,21.33, 0.00 ,  7148988.41,7511789.17, 23198.00, 15116549.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.019116,6,36,0.05,0.30,21.00,6,36,10.25,3,3,14.00, 6, 24,  7.48, 18.00, 6, 30, 9.80,0.35, 0.00 ,  24003823.20,29375078.14, 18991.00, 59981298.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,130.001682,25,1605,0.19,12.35,1196.32,576,1605,227.83,14,11,1151.71, 576, 1425,  238.81, 1159.55, 576, 1419, 247.58,124.03, 0.00 ,  5416736.75,8551714.05, 0.00, 19993104.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.236678,13,1440,0.11,11.98,999.62,547,1440,198.31,8,5,935.25, 547, 1210,  171.04, 924.00, 547, 1204, 212.79,62.23, 0.00 ,  10019723.17,21909127.56, 0.00, 59973013.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.331962,11,993,0.09,8.25,916.00,543,993,121.87,7,4,889.86, 543, 987,  144.51, 849.25, 543, 981, 178.73,51.77, 0.00 ,  12033196.20,23408450.77, 0.00, 59989752.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.038670,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061098.24,9541509.64, 954.00, 19993121.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.015990,8,502,0.07,4.18,256.25,6,502,172.28,4,4,134.50, 6, 266,  122.74, 254.00, 6, 496, 173.28,4.48, 0.00 ,  17145141.43,27089906.19, 6623.00, 59982417.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.019033,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30004758.25,29983757.76, 20839.00, 59989341.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.039684,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061157.88,9536516.51, 610.00, 19991506.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.011329,9,502,0.07,4.18,278.89,6,502,179.65,5,4,204.40, 6, 496,  182.43, 248.00, 6, 490, 171.17,8.52, 0.00 ,  15001416.12,25959391.78, 3128.00, 59964897.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.019431,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30004857.75,29984360.75, 20246.00, 59989506.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.039213,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061130.18,9526812.76, 0.00, 19992200.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002656,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143236.57,27072601.18, 16406.00, 59953903.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.018741,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30004685.25,29983860.75, 20780.00, 59988582.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.048565,22,3137,0.18,26.13,734.09,6,3137,1118.04,13,9,689.54, 6, 2957,  1051.30, 450.56, 6, 2951, 890.64,74.67, 0.00 ,  5716598.33,8470991.57, 0.00, 19992510.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002582,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143226.00,27059820.04, 16532.00, 59933671.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.038842,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061108.35,9526772.83, 0.00, 19992253.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002971,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143281.57,27047278.73, 16429.00, 59914031.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.019400,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30004850.00,29984022.00, 20538.00, 59989008.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.057877,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062228.06,9523174.83, 0.00, 19992394.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.000618,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17142945.43,27034213.58, 15786.00, 59892837.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.017652,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30004413.00,29983431.00, 20831.00, 59987968.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.048746,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061690.94,9524039.13, 0.00, 19992371.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.001896,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143128.00,27021995.38, 16175.00, 59873194.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.019028,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30004757.00,29984545.50, 20186.00, 59989578.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.039126,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061125.06,9519397.67, 117.00, 19992216.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.003767,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143395.29,27009819.46, 15626.00, 59855221.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.039295,22,3137,0.18,26.13,734.09,6,3137,1118.04,13,9,689.54, 6, 2957,  1051.30, 450.56, 6, 2951, 890.64,74.68, 0.00 ,  5716156.90,8460138.20, 0.00, 19992027.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002922,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143274.57,26996435.25, 16494.00, 59833549.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,179.984777,6,36,0.03,0.20,21.00,6,36,10.25,3,3,18.00, 6, 30,  9.80, 14.00, 6, 24, 7.48,0.30, 0.00 ,  35996955.40,29374643.42, 20295.00, 59989485.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.038055,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061062.06,9509508.04, 0.00, 19992226.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.013946,9,502,0.07,4.18,328.67,6,502,163.47,4,5,248.00, 6, 490,  171.17, 294.00, 6, 496, 181.84,8.27, 0.00 ,  15001743.25,25867806.62, 16258.00, 59808117.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.019105,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30004776.25,29984033.75, 20547.00, 59989099.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.090144,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7064126.12,9500426.30, 594.00, 19992312.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.016497,10,732,0.08,6.10,436.20,230,732,183.77,5,5,338.80, 230, 496,  123.65, 433.20, 230, 726, 183.75,14.11, 0.00 ,  13335166.33,24818784.56, 16638.00, 59768956.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.018899,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30004724.75,29981920.35, 20527.00, 59989197.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.039415,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061142.06,9512397.15, 52.00, 19992698.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.019345,9,502,0.07,4.18,278.89,6,502,179.65,5,4,204.40, 6, 496,  182.43, 248.00, 6, 490, 171.17,8.52, 0.00 ,  15002418.12,25840121.60, 16577.00, 59763739.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.019480,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30004870.00,29983992.00, 20796.00, 59989304.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.039133,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061125.47,9507293.01, 610.00, 19992200.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002795,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143256.43,26938406.98, 16568.00, 59743188.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.038751,22,3137,0.18,26.13,734.09,6,3137,1118.04,13,9,689.54, 6, 2957,  1051.30, 450.56, 6, 2951, 890.64,74.68, 0.00 ,  5716131.00,8453079.25, 0.00, 19991934.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.021517,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30005379.25,29984506.26, 20598.00, 59991068.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002217,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143173.86,26927123.83, 16172.00, 59723285.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.038266,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061074.47,9497592.81, 566.00, 19992669.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.017293,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30004323.25,29983270.75, 20946.00, 59988312.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.002162,8,496,0.07,4.13,307.00,6,496,160.74,4,4,248.00, 6, 490,  171.17, 243.50, 6, 484, 169.06,8.27, 0.00 ,  17143166.00,26914686.92, 16332.00, 59703605.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.038960,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061115.29,9492724.26, 0.00, 19992267.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54132→116.198.37.187:50602,120.012686,9,502,0.07,4.18,328.67,6,502,163.47,4,5,248.00, 6, 490,  171.17, 294.00, 6, 496, 181.84,8.27, 0.00 ,  15001585.75,25792981.97, 15526.00, 59678848.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50842→114.67.253.121:50602,120.017951,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30004487.75,29983724.25, 20754.00, 59988940.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57264→116.198.5.141:10602,120.037503,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.55, 0.00 ,  7061029.59,9487460.57, 0.00, 19992159.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
